Employee_ID,Age,Attrition,Business_Travel,Department,Distance_From_Home,Education,Environment_Satisfaction,Gender,Salary,Job_Involvement,Job_Level,Job_Role,Job_Satisfaction,Marital_Status,Number_of_Companies_Worked_previously,Overtime,Salary_Hike_in_percent,Total_working_years_experience,Work_life_balance,No_of_years_worked_at_current_company,No_of_years_in_current_role,Years_since_last_promotion
8959,27,Yes,Travel Frequently,Software Development,43,Graduation,2,male,87472,4,1,IT,4,Single,10,No,18,15,3,7,8,4
316,44,No,Travel Rarely,Network Administration,39,Master's,3,female,166799,5,1,Business Analyst,3,Married,6,No,76,7,5,5,8,8
6465,43,No,No Travel,Data Science,13,Degree,5,male,105675,2,1,HR,2,Married,5,Yes,75,1,4,4,8,6
1140,26,No,Travel Frequently,Software Development,3,Graduation,3,MALE,56583,3,3,Manager,3,Divorced,10,Yes,43,11,1,5,9,7
5508,27,Yes,Travel Frequently,Software Development,31,Graduation,1,female,140658,2,3,Director,2,Single,7,No,23,6,4,8,0,6
481,33,Yes,No Travel,Network Administration,12,Degree,1,male,39703,2,8,Director,5,Divorced,6,No,4,0,3,5,3,2
2868,23,No,Travel Rarely,Data Science,16,Degree,2,FEMALE,170729,1,6,Technician,5,Divorced,3,Yes,99,5,5,4,1,5
8083,28,No,Travel Rarely,Software Development,5,Graduation,1,male,55257,5,2,Consultant,5,Married,0,No,10,9,3,4,9,0
868,60,No,No Travel,IT Services,25,Below College,5,male,148870,1,5,Developer,5,Divorced,8,No,69,1,5,8,10,3
5108,56,No,Travel Rarely,Data Science,13,Below College,4,MALE,86153,5,7,Support,5,Married,4,Yes,24,4,4,10,8,2
4584,54,No,Travel Rarely,Cyber Security,20,Master's,4,MALE,191954,1,4,QA Analyst,2,Divorced,1,No,41,11,5,5,1,2
9076,53,Yes,Travel Frequently,Data Science,19,Master's,2,female,66281,1,7,Consultant,4,Married,2,Yes,43,10,1,2,1,6
4020,18,No,Travel Frequently,IT Services,37,PhD,1,FEMALE,103981,1,1,Software Engineer,2,Divorced,2,No,11,11,1,3,0,1
5801,19,No,No Travel,Network Administration,40,Graduation,4,FEMALE,146657,1,7,IT,2,Single,3,No,69,9,2,4,1,2
9015,46,Yes,Travel Rarely,Software Development,41,PhD,1,female,54314,1,5,Manager,5,Married,7,Yes,85,4,4,2,0,5
355,41,No,Travel Rarely,Software Development,41,Master's,5,MALE,136323,5,7,Support,1,Divorced,5,No,59,3,4,10,6,1
3778,52,No,Travel Frequently,Cyber Security,44,Master's,4,female,104072,4,6,IT,4,Single,5,Yes,61,7,2,0,4,7
2444,49,No,Travel Rarely,Cyber Security,36,Graduation,4,FEMALE,165835,3,6,Consultant,3,Single,7,Yes,37,9,1,7,5,2
2598,25,No,Travel Frequently,Network Administration,11,PhD,4,MALE,48073,2,8,Help Desk,4,Single,9,Yes,72,16,1,9,0,5
4243,36,Yes,No Travel,Network Administration,45,PhD,3,FEMALE,56564,2,1,Consultant,4,Married,1,No,17,14,1,2,8,6
6654,18,Yes,Travel Frequently,Software Development,13,Graduation,3,MALE,84955,2,1,Help Desk,1,Divorced,7,Yes,44,9,3,9,8,2
5168,56,No,No Travel,Cyber Security,11,Degree,2,FEMALE,128945,4,8,IT,5,Divorced,0,No,33,10,4,1,10,8
6355,60,No,Travel Rarely,Cyber Security,16,Degree,2,female,81495,3,6,Business Analyst,2,Married,10,No,88,7,5,2,8,0
2685,54,No,Travel Rarely,Software Development,16,PhD,2,FEMALE,64711,1,2,Technician,1,Single,5,No,43,15,3,6,3,6
3270,52,No,Travel Rarely,Network Administration,9,Master's,5,MALE,92072,1,6,Software Engineer,5,Divorced,0,Yes,35,15,5,5,9,0
4241,21,Yes,Travel Frequently,Cyber Security,41,Graduation,2,MALE,109720,2,4,IT,4,Divorced,8,No,98,9,1,0,10,5
8855,59,No,No Travel,Software Development,6,Degree,1,female,33563,2,7,IT,5,Married,2,No,74,0,5,5,5,8
206,49,No,Travel Rarely,Data Science,50,Graduation,2,male,174685,4,3,Consultant,5,Married,0,No,37,1,1,8,3,3
9348,45,Yes,Travel Frequently,Network Administration,24,Master's,5,female,91479,1,3,Support,4,Married,1,No,22,12,1,10,1,6
1528,62,No,Travel Frequently,Data Science,8,Graduation,3,male,81132,4,5,HR,1,Divorced,5,No,64,1,5,7,5,3
8953,47,No,Travel Frequently,Data Science,47,Below College,2,male,34943,4,6,HR,3,Married,7,No,98,1,4,3,10,8
6500,26,No,Travel Rarely,IT Services,32,Graduation,5,female,39685,3,6,Director,2,Single,8,No,51,5,1,6,4,1
2645,49,No,Travel Rarely,Software Development,23,PhD,1,MALE,121282,2,1,IT,,Married,9,No,31,7,5,6,0,0
9971,32,No,Travel Rarely,Software Development,49,Graduation,4,FEMALE,112713,5,8,Director,,Single,0,Yes,92,0,4,6,4,0
1551,55,No,Travel Rarely,Data Science,18,Graduation,3,FEMALE,109585,1,1,Manager,4,Divorced,10,No,68,17,3,2,7,4
3490,38,Yes,Travel Rarely,IT Services,47,Graduation,2,female,,3,8,Developer,2,Married,8,Yes,56,9,1,7,4,8
9264,59,Yes,Travel Rarely,Data Science,32,Degree,3,MALE,148203,5,2,Developer,5,Married,1,No,39,5,5,7,10,0
1338,63,No,Travel Frequently,Data Science,34,Below College,5,MALE,41595,3,8,Developer,5,Divorced,6,No,23,5,5,9,1,0
3181,21,No,No Travel,Software Development,35,Degree,4,MALE,,2,8,HR,3,Married,7,Yes,30,10,4,9,7,4
6497,29,Yes,Travel Frequently,Data Science,22,Graduation,5,MALE,40607,4,6,Consultant,1,Divorced,6,No,99,3,1,9,2,1
7168,29,No,Travel Rarely,Network Administration,8,Graduation,1,female,157610,2,3,Technician,3,Single,6,No,74,9,,5,4,0
5862,22,No,No Travel,IT Services,3,Degree,1,MALE,158255,3,2,HR,3,Single,4,Yes,36,17,1,10,4,0
6757,35,Yes,No Travel,Data Science,9,Degree,1,male,169719,2,1,IT,4,Single,7,Yes,40,10,2,3,8,1
2373,60,Yes,Travel Rarely,Software Development,27,Graduation,1,MALE,90035,1,6,IT,4,Single,6,No,61,7,2,3,10,7
1496,20,Yes,Travel Rarely,IT Services,11,Below College,3,female,50947,3,8,Software Engineer,1,Divorced,7,Yes,85,3,1,1,0,6
6118,47,No,Travel Frequently,Data Science,32,Degree,3,FEMALE,78328,3,6,Manager,2,Single,8,Yes,78,2,1,6,1,0
4448,63,No,No Travel,IT Services,1,Degree,5,MALE,62862,4,5,Business Analyst,2,Divorced,2,Yes,17,8,2,10,5,8
1741,32,No,Travel Rarely,IT Services,34,Master's,3,MALE,142733,1,1,Help Desk,1,Married,1,No,68,10,,7,5,0
3611,32,No,No Travel,Software Development,48,Graduation,1,male,102181,3,3,Technician,2,Married,8,No,93,13,2,1,2,5
5929,46,No,Travel Rarely,IT Services,45,Degree,2,FEMALE,76304,1,8,Business Analyst,4,Married,8,No,69,6,5,7,6,4
5835,35,No,Travel Rarely,Network Administration,33,Graduation,3,male,,4,5,QA Analyst,3,Married,2,Yes,39,8,3,8,1,1
